MouseState { coords: (588, 537), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (589, 537), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (590, 537), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (592, 536), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (595, 536), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (597, 535), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (600, 533), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (601, 533), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (602, 533), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (602, 533), button_pressed: [false, true, false, false, false, false] }
MouseState { coords: (602, 533), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (603, 533), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (607, 532), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (609, 531), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (611, 530), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (615, 529), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (618, 528), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (623, 526), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (623, 525), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (624, 525), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (625, 525), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (627, 524), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (628, 523), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (630, 523), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (632, 521), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (632, 521), button_pressed: [false, true, false, false, false, false] }
MouseState { coords: (632, 521), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (634, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (638, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (642, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (647, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (654, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (662, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (670, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (681, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (690, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (697, 520), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (706, 519), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (725, 517), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (733, 515), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (743, 513), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (750, 512), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (757, 512), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (762, 511), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (763, 510), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (763, 510), button_pressed: [false, true, false, false, false, false] }
MouseState { coords: (763, 510), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (763, 507), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (763, 503), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (763, 499), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (763, 496), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (763, 492), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (763, 488), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (765, 481), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (769, 474), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (772, 470), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (777, 465), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (778, 464), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (782, 461), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (786, 459), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (787, 458), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (789, 456), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (790, 456), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (790, 456), button_pressed: [false, true, false, false, false, false] }
MouseState { coords: (790, 455), button_pressed: [false, true, false, false, false, false] }
MouseState { coords: (790, 455), button_pressed: [false, false, false, false, false, false] }
